microcirculations,INSERT,{Trunk of left first bronchial artery;62821;ART;N}
microcirculations,INSERT,{Trunk of left second bronchial artery;62821;ART;N}
microcirculations,INSERT,{Trunk of right bronchial artery;62821;ART;N}
microcirculations,INSERT,{Trunk of right bronchial vein;62821;VEN;N}
microcirculations,INSERT,{Trunk of left bronchial vein;62821;VEN;N}
microcirculations,INSERT,{Trunk of left artery of urethral bulb;19614;ART;N}
microcirculations,INSERT,{Trunk of bulbo-urethral gland tributary of left penile bulb vein;19614;VEN;N}
microcirculations,INSERT,{Trunk of right artery of urethral bulb;19614;ART;N}
microcirculations,INSERT,{Trunk of bulbo-urethral gland tributary of right penile bulb vein;19614;VEN;N}
microcirculations,INSERT,{Venae comitantes of left iliolumbar vein;52590;VEN;N}
microcirculations,INSERT,{Trunk of spinal division of lumbar part of left iliolumbar artery;52590;ART;N}
microcirculations,INSERT,{Venae comitantes of right iliolumbar vein;52590;VEN;N}
microcirculations,INSERT,{Trunk of spinal division of lumbar part of right iliolumbar artery;52590;ART;N}
microcirculations,INSERT,{Trunk of hepatic vein of caudate lobe;13365;VEN;N}
microcirculations,INSERT,{Trunk of right paracaval tributary of right hepatic vein;13365;VEN;N}
microcirculations,INSERT,{Trunk of left dorsal artery of the clitoris;9909;ART;N}
microcirculations,INSERT,{Trunk of right dorsal artery of the clitoris;9909;ART;N}
microcirculations,INSERT,{Trunk of median sacral vein;20229;VEN;N}
microcirculations,INSERT,{Trunk of deep dorsal vein of clitoris;20172;VEN;N}
microcirculations,INSERT,{Trunk of deep dorsal vein of penis;19618;VEN;N}
microcirculations,INSERT,{Trunk of left artery of urethral bulb;19617;ART;N}
microcirculations,INSERT,{Trunk of left urethral artery;19617;ART;N}
microcirculations,INSERT,{Trunk of left urethral vein;19617;VEN;N}
microcirculations,INSERT,{Trunk of bulbo-urethral gland tributary of left penile bulb vein;19617;VEN;N}
microcirculations,INSERT,{Trunk of right artery of urethral bulb;19617;ART;N}
microcirculations,INSERT,{Trunk of right urethral artery;19617;ART;N}
microcirculations,INSERT,{Trunk of right urethral vein;19617;VEN;N}
microcirculations,INSERT,{Trunk of bulbo-urethral gland tributary of right penile bulb vein;19617;VEN;N}
microcirculations,INSERT,{Trunk of left cremasteric artery;74054;ART;N}
microcirculations,INSERT,{Venae comitantes of left inferior epigastric vein;74054;VEN;N}
microcirculations,INSERT,{Trunk of right cremasteric artery;74054;ART;N}
microcirculations,INSERT,{Venae comitantes of right inferior epigastric vein;74054;VEN;N}
microcirculations,INSERT,{Trunk of left testicular artery;21531;ART;N}
microcirculations,INSERT,{Trunk of right testicular artery;21531;ART;N}
microcirculations,INSERT,{Trunk of right testicular vein;21531;VEN;N}
microcirculations,INSERT,{Trunk of left cremasteric artery;21531;ART;N}
microcirculations,INSERT,{Venae comitantes of left inferior epigastric vein;21531;VEN;N}
microcirculations,INSERT,{Trunk of left testicular vein;21531;VEN;N}
microcirculations,INSERT,{Trunk of right cremasteric artery;21531;ART;N}
microcirculations,INSERT,{Venae comitantes of right inferior epigastric vein;21531;VEN;N}
microcirculations,INSERT,{Trunk of left perineal vein;20439;VEN;N}
microcirculations,INSERT,{Trunk of posterior scrotal branches of left perineal artery;20439;ART;N}
microcirculations,INSERT,{Trunk of right perineal vein;20438;VEN;N}
microcirculations,INSERT,{Trunk of posterior scrotal branches of right perineal artery;20438;ART;N}
microcirculations,INSERT,{Trunk of medial branch of left inferior phrenic artery;13295;ART;N}
microcirculations,INSERT,{Trunk of medial branch of right inferior phrenic artery;13295;ART;N}
microcirculations,INSERT,{Trunk of first posterior ventricular branch of right coronary artery;9289;ART;N}
microcirculations,INSERT,{Trunk of second posterior ventricular branch of right coronary artery;9289;ART;N}
microcirculations,INSERT,{Trunk of inferior pancreaticoduodenal artery;71134;ART;N}
microcirculations,INSERT,{Trunk of pancreaticoduodenal vein;71134;VEN;N}
microcirculations,INSERT,{Trunk of ileal branch of inferior branch of ileocolic artery;14966;ART;N}
microcirculations,INSERT,{Trunk of ileal tributary of ileocolic vein;14966;VEN;N}
microcirculations,INSERT,{Trunk of left lateral sacral vein;32505;VEN;N}
microcirculations,INSERT,{Trunk of superior part of left lateral sacral artery;32505;ART;N}
microcirculations,INSERT,{Trunk of inferior part of left lateral sacral artery;32505;ART;N}
microcirculations,INSERT,{Trunk of right lateral sacral vein;32505;VEN;N}
microcirculations,INSERT,{Trunk of superior part of right lateral sacral artery;32505;ART;N}
microcirculations,INSERT,{Trunk of inferior part of right lateral sacral artery;32505;ART;N}
microcirculations,INSERT,{Trunk of left eighth posterior intercostal vein;46365;VEN;N}
microcirculations,INSERT,{Trunk of left eighth posterior intercostal artery;46365;ART;N}
microcirculations,INSERT,{Trunk of right eighth posterior intercostal artery;46365;ART;N}
microcirculations,INSERT,{Trunk of right eighth posterior intercostal vein;46365;VEN;N}
microcirculations,INSERT,{Trunk of left eighth posterior intercostal vein;71154;VEN;N}
microcirculations,INSERT,{Trunk of left eighth posterior intercostal artery;71154;ART;N}
microcirculations,INSERT,{Trunk of right eighth posterior intercostal artery;71154;ART;N}
microcirculations,INSERT,{Trunk of right eighth posterior intercostal vein;71154;VEN;N}
microcirculations,INSERT,{Trunk of left eighth posterior intercostal vein;46376;VEN;N}
microcirculations,INSERT,{Trunk of left eighth posterior intercostal artery;46376;ART;N}
microcirculations,INSERT,{Trunk of right eighth posterior intercostal artery;46376;ART;N}
microcirculations,INSERT,{Trunk of right eighth posterior intercostal vein;46376;VEN;N}
microcirculations,INSERT,{Trunk of spinal branch of dorsal branch of left eighth posterior intercostal artery;9991;ART;N}
microcirculations,INSERT,{Trunk of spinal branch of dorsal branch of right eighth posterior intercostal artery;9991;ART;N}
microcirculations,INSERT,{Trunk of left eleventh posterior intercostal artery;46368;ART;N}
microcirculations,INSERT,{Trunk of right eleventh posterior intercostal artery;46368;ART;N}
microcirculations,INSERT,{Trunk of right eleventh posterior intercostal vein;46368;VEN;N}
microcirculations,INSERT,{Trunk of left eleventh posterior intercostal vein;46368;VEN;N}
microcirculations,INSERT,{Trunk of left eleventh posterior intercostal artery;71163;ART;N}
microcirculations,INSERT,{Trunk of right eleventh posterior intercostal artery;71163;ART;N}
microcirculations,INSERT,{Trunk of right eleventh posterior intercostal vein;71163;VEN;N}
microcirculations,INSERT,{Trunk of left eleventh posterior intercostal vein;71163;VEN;N}
microcirculations,INSERT,{Trunk of left eleventh posterior intercostal artery;46379;ART;N}
microcirculations,INSERT,{Trunk of right eleventh posterior intercostal artery;46379;ART;N}
microcirculations,INSERT,{Trunk of right eleventh posterior intercostal vein;46379;VEN;N}
microcirculations,INSERT,{Trunk of left eleventh posterior intercostal vein;46379;VEN;N}
microcirculations,INSERT,{Trunk of spinal branch of dorsal branch of left eleventh posterior intercostal artery;10059;ART;N}
